run,single_threaded,multi_threaded
0,133.0463,145.1896
1,474.5390,234.3232
2,63.1095,121.4934
3,12.3284,8.7043
4,109.5069,13.4113
5,24.5771,29.0237
6,89.5997,35.4419
7,34.1179,132.6515
8,116.9947,57.1652
9,56.9766,26.3815
10,28.4809,19.3112
11,58.8006,180.9864
12,272.2503,43.7129
13,18.2487,20.2668
14,297.1956,81.4762
15,125.3530,34.0801
16,46.7485,3.7257
17,196.8620,53.2308
18,70.4909,17.6265
19,80.7829,97.2620
20,48.8397,56.2826
21,159.7434,61.6771
22,12.0914,87.4501
23,85.7956,171.2680
24,97.7658,106.9485
25,48.4298,45.7898
26,122.4705,226.8630
27,94.7455,137.3360
28,137.6893,11.8823
29,147.5934,59.2846
